Model,R2,MAE,MSE,RMSE
Random Forest,0.9115371141035316,20.511888613808928,1619.8457756608325,40.24730768213984
Gradient Boosting,0.8990691726470919,23.122528566406213,1848.1465155105004,42.990074616247185
Decision Tree,0.8636672303355539,24.535697368398353,2496.39223033657,49.96390927796352
Linear Regression,0.8244197424751918,29.977476670811775,3215.0538110848124,56.70144452379333
